source_year,filename,bytes,sha256,source_commit
2025,20030207.pdf,70068,f6bfb6f670e3c654aacdca2c5f15aaf66ba3aeec95f7e2d62bce83366afcd128,510945b2b1d600dd90b183858b86419926b81e65
2025,20030212.pdf,85846,f3786d1acf5e1959637814c13b86ef0c8039535029f6f898fe5b2a3392284c69,510945b2b1d600dd90b183858b86419926b81e65
2025,20030215.pdf,65170,19eebc53efc2ab26d2374585a95e96bbe51b4bbb110eb6d19ed57bc28376022d,510945b2b1d600dd90b183858b86419926b81e65
2025,20030231.pdf,205684,64a395ae6c39f5451d0bc1f2abebb272d44175476550360932b472e6afada746,510945b2b1d600dd90b183858b86419926b81e65
2025,20030233.pdf,66153,300ef3189d1c7df20765404833f9cc7dfa4c782c3e16803c00d867b154069a33,510945b2b1d600dd90b183858b86419926b81e65
2025,20030234.pdf,63292,451e5c605aa11fcd4ca7db47c55d086f29bee978c3608842190faaa34d2d5a90,510945b2b1d600dd90b183858b86419926b81e65
2025,20030235.pdf,62542,c7276e243f47284813ce712d841313e1d19ed8867a7a968c5ac8ed4ac0e92661,510945b2b1d600dd90b183858b86419926b81e65
2025,20030236.pdf,65347,95d70b5184061cb799cecaf4ef6ffb7f6abb10bf47aa47a48978102f1d54a2c4,510945b2b1d600dd90b183858b86419926b81e65
2025,20030237.pdf,63302,3a021539d7a30e152c7866b6401e4e144c324796f35e8d2e167ad24a229f171d,510945b2b1d600dd90b183858b86419926b81e65
2025,20030238.pdf,111960,d27b63767f9aa5901d811941c8db96b3947e57033ac38a6645ac55562abe97f8,510945b2b1d600dd90b183858b86419926b81e65
2025,20030262.pdf,67059,e01c1031aafcec2393e984b7525caf2068b2f93745425801058e4e3fff0ab175,510945b2b1d600dd90b183858b86419926b81e65
2025,20030265.pdf,80551,8b21a2432644abd3fef1d3e05538c873ab30d5d15e0012bd57437f57347c4ab9,510945b2b1d600dd90b183858b86419926b81e65
2025,20030267.pdf,66175,7f14f99fa3c5ce3cdb88238f575d72d6db72e456d382996eaa1736ee896999d7,510945b2b1d600dd90b183858b86419926b81e65
2025,20030275.pdf,74515,77bf6794ea97a7ffc26a0a7b4b0e74a471e5cc6792f07206dada35fcb491df21,510945b2b1d600dd90b183858b86419926b81e65
2025,20030282.pdf,98612,98cc2160735929d4a774c2bccac6a79618b9331f1cc48c8206b9dd6c836c19e0,510945b2b1d600dd90b183858b86419926b81e65
2025,20030283.pdf,72857,77f8c7faa0997a7b3a61a51d87e4d7c5893842940654511746227412000be793,510945b2b1d600dd90b183858b86419926b81e65
2025,20030285.pdf,62979,78ed5cf479bbc425d44198f1df3dc2f525a8175469633e7d537020b535ee21de,510945b2b1d600dd90b183858b86419926b81e65
